ticker,max_duration_days,max_duration_start_date,max_duration_end_date,avg_turnover,notes,source
GLST,29,2023-09-05,2023-10-03,278063,,
OXSQL,29,2023-09-06,2023-10-04,73814,,
GLBZ,29,2022-07-08,2022-08-05,33694,,
MDVL,28,2023-09-29,2023-10-26,2703409,,
HCNE,28,2022-05-17,2022-06-13,1269211,,
ENTF,28,2023-06-22,2023-07-19,1038438,,
BIOS,28,2022-06-16,2022-07-13,1000323,,
ADER,28,2023-03-23,2023-04-19,848525,,
LGVC,28,2023-05-18,2023-06-14,812536,,
CHWA,28,2022-06-15,2022-07-12,784500,,
GLHA,28,2022-08-04,2022-08-31,695007,,
FLYA,28,2022-11-03,2022-11-30,671000,,
CXAC,28,2023-09-13,2023-10-10,656891,,
IRRX,28,2022-03-17,2022-04-13,520388,,
QFTA,28,2023-09-15,2023-10-12,461035,,
WEL,28,2024-04-10,2024-05-07,333474,,
SPLP,28,2024-05-16,2024-06-12,272039,,
CFBK,28,2023-05-19,2023-06-15,204405,,
HVBC,28,2022-08-03,2022-08-30,139842,,
BWBBP,28,2022-01-20,2022-02-16,60995,,
MNSBP,28,2023-07-21,2023-08-17,51754,,
SEZL,27,2023-08-18,2023-09-13,37732358,,
KITT,27,2022-03-17,2022-04-12,3365402,,
GTPA,27,2022-02-04,2022-03-02,1672350,,
SDAC,27,2023-06-21,2023-07-17,937910,,
ARTE,27,2022-10-14,2022-11-09,718860,,
ENER,27,2023-11-02,2023-11-28,647988,,
FLYX,27,2023-07-05,2023-07-31,391998,,
NGC,27,2022-03-10,2022-04-05,381960,,
NEWTZ,27,2023-01-04,2023-01-30,193841,,
BDL,27,2024-04-17,2024-05-13,98796,,
GEGGL,27,2023-11-02,2023-11-28,69306,,
CNDA,26,2022-06-03,2022-06-28,1622241,,
AACB,26,2025-07-10,2025-08-04,1131605,,
PTOC,26,2022-10-17,2022-11-11,1078222,,
AKIC,26,2022-09-26,2022-10-21,1068098,,
GXII,26,2022-05-16,2022-06-10,990440,,
AMPI,26,2022-08-05,2022-08-30,973351,,
BMAC,26,2023-04-27,2023-05-22,816454,,
SSAA,26,2022-08-15,2022-09-09,728524,,
MACU,26,2022-02-11,2022-03-08,600755,,
LTRPB,26,2023-08-18,2023-09-12,439033,,
LJAQ,26,2022-11-10,2022-12-05,412482,,
PNBK,26,2023-01-20,2023-02-14,406234,,
GGGV,26,2022-03-25,2022-04-19,110957,,
SOC,25,2023-10-23,2023-11-16,15310612,,
PGAC,25,2025-08-11,2025-09-04,1260610,,
FWAC,25,2023-03-10,2023-04-03,1169670,,
SHQA,25,2022-02-22,2022-03-18,423163,,
PFIN,25,2022-11-01,2022-11-25,99322,,
GECCI,25,2025-01-31,2025-02-24,84466,,
OXSQZ,25,2023-05-01,2023-05-25,59030,,
MSVB,25,2022-06-27,2022-07-21,45021,,
ICU,24,2022-08-23,2022-09-15,2241360,,
AHPA,24,2022-02-02,2022-02-25,1127274,,
NFNT,24,2023-09-06,2023-09-29,1029181,,
TVA,24,2025-07-30,2025-08-22,958941,,
SPCM,24,2022-12-14,2023-01-06,747279,,
BALY,24,2024-11-27,2024-12-20,663590,,
BITE,24,2023-07-18,2023-08-10,378620,,
PMVC,24,2022-08-01,2022-08-24,207147,,
PFX,24,2023-04-18,2023-05-11,143302,,
TCBS,24,2024-07-17,2024-08-09,51833,,
MBAV,23,2025-02-06,2025-02-28,2535195,,
LCAA,23,2022-05-05,2022-05-27,2246901,,
GDHG,23,2023-06-21,2023-07-13,1816968,,
FMIV,23,2023-05-30,2023-06-21,1230665,,
LOCC,23,2022-11-17,2022-12-09,1223690,,
HOVR,23,2023-06-15,2023-07-07,1145399,,
ACDI,23,2022-10-20,2022-11-11,1116925,,
PLMK,23,2025-06-24,2025-07-16,1075560,,
PFDR,23,2022-11-10,2022-12-02,1051231,,
EVE,23,2024-08-06,2024-08-28,912598,,
TZPS,23,2022-08-11,2022-09-02,904341,,
FLAC,23,2022-05-03,2022-05-25,847045,,
ARGU,23,2022-10-20,2022-11-11,831220,,
TGR,23,2022-12-27,2023-01-18,818473,,
IIII,23,2022-02-02,2022-02-24,803338,,
BWC,23,2022-02-14,2022-03-08,770898,,
THAC,23,2022-07-21,2022-08-12,653749,,
HSAQ,23,2022-11-21,2022-12-13,630710,,
PNAC,23,2022-11-17,2022-12-09,616630,,
ITQ,23,2023-01-19,2023-02-10,610922,,
NMMC,23,2022-03-10,2022-04-01,599690,,
TUGC,23,2022-02-24,2022-03-18,592590,,
BELFA,23,2022-02-02,2022-02-24,512832,,
JYAC,23,2022-03-10,2022-04-01,484114,,
BLSA,23,2022-08-08,2022-08-30,386073,,
NBST,23,2022-07-19,2022-08-10,326328,,
SVT,23,2024-02-21,2024-03-14,149421,,
OXLCZ,23,2022-08-17,2022-09-08,130937,,
CCM,23,2022-11-22,2022-12-14,70696,,
PBHC,23,2023-10-30,2023-11-21,65056,,
NTZ,23,2023-08-09,2023-08-31,46311,,
GTN.A,23,2022-07-07,2022-07-29,34301,,
DYNX,22,2025-04-23,2025-05-14,5189512,,
NETD,22,2023-09-22,2023-10-13,1594100,,
GPAT,22,2025-07-03,2025-07-24,1354010,,
HLAH,22,2022-07-18,2022-08-08,1251425,,
LDHA,22,2022-11-04,2022-11-25,1128328,,
NFYS,22,2022-03-11,2022-04-01,1080333,,
UTAA,22,2022-02-07,2022-02-28,1076550,,
CLAA,22,2022-05-18,2022-06-08,982844,,
EPWR,22,2022-01-04,2022-01-25,977793,,
SKGR,22,2023-07-10,2023-07-31,921798,,
GNAC,22,2022-07-07,2022-07-28,793343,,
EQHA,22,2022-08-04,2022-08-25,750372,,
DTRT,22,2022-05-16,2022-06-06,741419,,
WQGA,22,2022-05-04,2022-05-25,660724,,
WALD,22,2022-12-16,2023-01-06,611815,,
PIAI,22,2023-07-25,2023-08-15,509284,,
FVAM,22,2022-02-01,2022-02-22,390893,,
ATA,22,2022-07-15,2022-08-05,271457,,
SYT,22,2023-09-19,2023-10-10,259284,,
HNVR,22,2023-05-18,2023-06-08,218812,,
RBKB,22,2022-07-11,2022-08-01,74344,,
ZING,21,2023-01-13,2023-02-02,2285608,,
FSNB,21,2023-09-20,2023-10-10,1283889,,
OPA,21,2022-11-29,2022-12-19,1000469,,
JUGG,21,2022-06-02,2022-06-22,971136,,
BSII,21,2024-10-09,2024-10-29,937973,,
UHG,21,2022-10-05,2022-10-25,818707,,
AVAC,21,2023-01-19,2023-02-08,774990,,
HTAQ,21,2022-05-13,2022-06-02,529701,,
ABGI,21,2022-07-07,2022-07-27,525453,,
MON,21,2022-07-06,2022-07-26,515689,,
PLTN,21,2023-04-20,2023-05-10,447564,,
KEQU,21,2023-10-26,2023-11-15,442293,,
UYSC,21,2025-07-29,2025-08-18,423060,,
TMPM,21,2022-05-06,2022-05-26,371260,,
PGRW,21,2022-04-07,2022-04-27,304639,,
ELUT,21,2022-07-22,2022-08-11,175999,,
BRLS,21,2024-08-01,2024-08-21,169780,,
OPT,21,2022-08-05,2022-08-25,57891,,
IMPPP,21,2022-10-06,2022-10-26,50319,,
CXAI,20,2023-01-19,2023-02-07,9343943,,
TCBP,20,2022-09-21,2022-10-10,2035195,,
SEGG,20,2023-05-26,2023-06-14,1918423,,
DFLI,20,2022-01-06,2022-01-25,1755708,,
LITT,20,2022-05-05,2022-05-24,1201809,,
