ticker,max_duration_days,max_duration_start_date,max_duration_end_date,avg_turnover,notes,source,cut_off_date,counts
WVFC,79,2021-11-15,2022-02-01,35246,,,,
XHG,78,2023-02-22,2023-05-10,1822140,,,,
ALOR,78,2023-08-28,2023-11-13,692983,,,,
CNAC,78,2019-04-02,2019-06-18,574665,,,,
FTII,78,2022-06-16,2022-09-01,436248,,,,
BKHA,78,2024-08-20,2024-11-05,302256,,,,
WTMA,78,2024-09-04,2024-11-20,277275,,,,
RMG,77,2019-07-17,2019-10-01,12785754,,,,
PUCK,77,2024-03-06,2024-05-21,644100,,,,
QVCGB,77,2018-12-11,2019-02-25,502847,,,,
ONYX,77,2024-04-03,2024-06-18,492222,,,,
DUET,77,2024-09-05,2024-11-20,391771,,,,
WBKC,77,2015-02-19,2015-05-06,110875,,,,
OCCIN,77,2022-10-13,2022-12-28,75017,,,,
PCPC,76,2021-09-29,2021-12-13,990613,,,,
CHAA,76,2023-07-06,2023-09-19,663034,,,,
TMTC,76,2023-06-22,2023-09-05,486738,,,,
CALC,76,2023-03-30,2023-06-13,139374,,,,
CARV,75,2016-09-12,2016-11-25,3032533,,,,
FSAC,75,2018-04-20,2018-07-03,2105847,,,,
QTI,75,2023-10-02,2023-12-15,569315,,,,
DBD,74,2023-05-30,2023-08-11,13031468,,,,
BPAC,74,2022-03-28,2022-06-09,1635108,,,,
LAAA,74,2021-11-30,2022-02-11,260206,,,,
IPV,73,2020-04-06,2020-06-17,10615160,,,,
INSU,73,2019-06-05,2019-08-16,3537444,,,,
TPBA,73,2022-06-15,2022-08-26,779078,,,,
VLAT,73,2021-07-12,2021-09-22,637434,,,,
MOBV,73,2023-03-22,2023-06-02,512235,,,,
IPVI,73,2021-07-26,2021-10-06,498492,,,,
IMTE,72,2017-09-11,2017-11-21,1982041,,,,
FNVT,72,2024-05-08,2024-07-18,588610,,,,
EBAC,72,2021-08-25,2021-11-04,447573,,,,
OHAA,72,2023-03-15,2023-05-25,373540,,,,
DILA,72,2022-02-10,2022-04-22,249683,,,,
GBRG,72,2021-10-11,2021-12-21,205592,,,,
RIBB,72,2025-07-09,2025-09-18,202807,,,,
AIM,71,2025-04-07,2025-06-16,2803022,,,,
JWSM,71,2024-08-19,2024-10-28,2193276,,,,
TRUG,71,2023-02-23,2023-05-04,932521,,,,
MITA,71,2024-09-23,2024-12-02,760882,,,,
